Output Order,Index Name,In Text Name,Category,Introduced in Version,Description,Numerator/equation,Denominator,Corpus/Database,Reference,Corpus/Database Reference,Mode-Genre,Raw/Lemma,Types of Words,Raw/Log,Tokens/Types
31,MRC_Imageability_CW,MRC Imageability CW,Psycholinguistic Norms,TAALES 1.0,Mean unigram imageability score,Sum of concreteness scores,number of words in text with concreteness scores,MRC Database,0,"Coltheart, 1981",Written Surveys,Lemma,Content Words,Raw,Tokens
32,MRC_Familiarity_FW,MRC Familiarity FW,Psycholinguistic Norms,TAALES 1.0,Mean unigram familiarity score,Sum of concreteness scores,number of words in text with concreteness scores,MRC Database,0,"Coltheart, 1981",Written Surveys,Lemma,Function Words,Raw,Tokens
33,MRC_Concreteness_FW,MRC Concreteness FW,Psycholinguistic Norms,TAALES 1.0,Mean unigram concreteness score,Sum of concreteness scores,number of words in text with concreteness scores,MRC Database,0,"Coltheart, 1981",Written Surveys,Lemma,Function Words,Raw,Tokens
34,MRC_Imageability_FW,MRC Imageability FW,Psycholinguistic Norms,TAALES 1.0,Mean unigram imageability score,Sum of concreteness scores,number of words in text with concreteness scores,MRC Database,0,"Coltheart, 1981",Written Surveys,Lemma,Function Words,Raw,Tokens
35,MRC_Meaningfulness_FW,MRC Meaningfulness FW,Psycholinguistic Norms,TAALES 1.0,Mean unigram meaningfulness score,Sum of concreteness scores,number of words in text with concreteness scores,MRC Database,Toglia and Battig (1978) ,"Coltheart, 1981",Written Surveys,Lemma,Function Words,Raw,Tokens
36,Kuperman_AoA_AW,Age of Acquisition AW,Age of Acquisition/Exposure,TAALES 1.0,Mean age of acquisition score,Sum of AOA scores,number of words in text with AOA scores,"Age of acquisition norms collected for 30,121 lemmas","Kuperman et al., 2012",N/A,Written Surveys,Lemma,All Words,Raw,Tokens
37,Kuperman_AoA_CW,Age of Acquisition CW,Age of Acquisition/Exposure,TAALES 1.0,Mean age of acquisition score,Sum of AOA scores,number of words in text with AOA scores,"Age of acquisition norms collected for 30,121 lemmas","Kuperman et al., 2012",N/A,Written Surveys,Lemma,Concrete Words,Raw,Tokens
38,Kuperman_AoA_FW,Age of Acquisition FW,Age of Acquisition/Exposure,TAALES 1.0,Mean age of acquisition score,Sum of AOA scores,number of words in text with AOA scores,"Age of acquisition norms collected for 30,121 lemmas","Kuperman et al., 2012",N/A,Written Surveys,Lemma,Function Words,Raw,Tokens
39,Brysbaert_Concreteness_Combined_AW,Brysabaert Concreteness Combined AW,Psycholinguistic Norms,TAALES 1.0,Mean combined concreteness score,Sum of concreteness scores,number of words with concreteness scores,"Concreteness norms collected for 37,058  lemmas and 2,896 bigrams ",Brysbaert et al. (2013) ,N/A,Written Surveys,Lemma,All Words,Raw,Tokens
40,Brysbaert_Concreteness_Combined_CW,Brysbaert Concreteness Combined CW,Psycholinguistic Norms,TAALES 1.0,Mean combined concreteness score,Sum of concreteness scores,number of words with concreteness scores,"Concreteness norms collected for 37,058  lemmas and 2,896 bigrams ",Brysbaert et al. (2013) ,N/A,Written Surveys,Lemma,Content Words,Raw,Tokens
