filename,basic_ntokens,basic_ntypes,basic_ncontent_tokens,basic_ncontent_types,basic_nfunction_tokens,basic_nfunction_types,lexical_density_types,lexical_density_tokens,simple_ttr_aw,simple_ttr_cw,simple_ttr_fw,root_ttr_aw,root_ttr_cw,root_ttr_fw,log_ttr_aw,log_ttr_cw,log_ttr_fw,maas_ttr_aw,maas_ttr_cw,maas_ttr_fw,mattr50_aw,mattr50_cw,mattr50_fw,msttr50_aw,msttr50_cw,msttr50_fw,hdd42_aw,hdd42_cw,hdd42_fw,mtld_original_aw,mtld_original_cw,mtld_original_fw,mtld_ma_bi_aw,mtld_ma_bi_cw,mtld_ma_bi_fw,mtld_ma_wrap_aw,mtld_ma_wrap_cw,mtld_ma_wrap_fw
16.txt,286,110,124,66,162,44,0.6,0.433566434,0.384615385,0.532258065,0.271604938,6.504436356,5.926974967,3.456966486,0.831062088,0.869172202,0.743806974,0.068775545,0.062494718,0.115949892,0.634767932,0.5656,0.431681416,0.64,0.58,0.44,0.712082834,0.714457452,0.506057734,31.32874658,25.67724665,14.54784689,31.71943372,21.38005409,14.79506849,33.54545455,32.70967742,14.78395062
17.txt,215,85,81,49,134,36,0.576470588,0.376744186,0.395348837,0.604938272,0.268656716,5.796951885,5.444444444,3.109926332,0.827211075,0.885621875,0.73165295,0.074080808,0.059931372,0.126156008,0.644096386,0.63875,0.472,0.64,0.64,0.44,0.721215256,0.753230339,0.505314582,29.51074787,34.81179775,15.35763027,28.23507373,20.17375887,15.09658065,28.02325581,28.7654321,14.80597015
18.txt,327,112,121,67,206,45,0.598214286,0.370030581,0.342507645,0.553719008,0.218446602,6.193614152,6.090909091,3.135298564,0.814944962,0.876746509,0.714480286,0.073593766,0.059177241,0.123395029,0.597482014,0.657777778,0.415796178,0.596666667,0.66,0.425,0.721543492,0.762704841,0.526042815,20.07097382,26.10462963,11.81531056,19.99178666,22.06839479,11.63559412,19.94801223,27.52892562,11.61165049
19.txt,271,137,108,83,163,54,0.605839416,0.398523985,0.505535055,0.768518519,0.331288344,8.322157327,7.986678724,4.22960643,0.878235732,0.943766929,0.783113402,0.050047597,0.027654379,0.098041684,0.735315315,0.841355932,0.536140351,0.744,0.86,0.54,0.805563591,0.894470288,0.605955489,55.11164356,130.6368,19.74846453,44.79156706,10,17.07615776,56.18450185,114.950495,18.6809816
2.txt,295,119,104,72,191,47,0.605042017,0.352542373,0.403389831,0.692307692,0.246073298,6.928447866,7.060180865,3.400800645,0.840362969,0.920823895,0.733044015,0.064635035,0.039253741,0.117032915,0.641544715,0.745454545,0.453239437,0.624,0.78,0.433333333,0.734124232,0.849118695,0.533281013,27.65891053,72.76178204,13.28650601,26.41666321,40.66850265,12.88967774,27.02033898,69.18269231,12.95287958
20.txt,240,95,93,56,147,39,0.589473684,0.3875,0.395833333,0.602150538,0.265306122,6.132223631,5.80692949,3.216665785,0.830902556,0.888088987,0.734117049,0.071043041,0.056851401,0.122678367,0.635287958,0.69,0.445306122,0.65,0.78,0.4,0.707434351,0.760310162,0.498697546,29.00530504,47.62119289,13.56128899,24.48349938,27.56136364,11.87675711,26.74166667,43.58064516,12
21.txt,257,109,104,63,153,46,0.577981651,0.404669261,0.424124514,0.605769231,0.300653595,6.799233191,6.177658257,3.718879584,0.845428646,0.892072786,0.761095049,0.064139271,0.053507898,0.109354093,0.680192308,0.728363636,0.496538462,0.708,0.79,0.513333333,0.800295903,0.793405669,0.608433467,27.11117443,49.83168317,14.72567568,29.50638298,30.0951417,14.69345238,36.96108949,44.94230769,15.06535948
22.txt,290,128,125,76,165,52,0.59375,0.431034483,0.44137931,0.608,0.315151515,7.51641881,6.797646652,4.04819451,0.855755232,0.896945306,0.77385153,0.058578982,0.049145979,0.101984265,0.676929461,0.703684211,0.485862069,0.68,0.7,0.493333333,0.782989506,0.775940529,0.595952775,28.99157278,36.11398072,15.19025735,32.99441357,28.2976489,15.35918919,32.38965517,29.272,15.82424242
23.txt,352,122,132,76,220,46,0.62295082,0.375,0.346590909,0.575757576,0.209090909,6.502621849,6.614950926,3.101319367,0.819291136,0.886936109,0.709845343,0.070962433,0.05331759,0.12386947,0.668646865,0.72,0.423157895,0.674285714,0.72,0.44,0.733715031,0.795617552,0.523464362,40.48504998,41.31063204,16.48237179,39.07084361,41.27835052,16.24088036,40.70170455,42.6969697,17.15
24.txt,314,128,116,78,198,50,0.609375,0.369426752,0.407643312,0.672413793,0.252525253,7.223457894,7.242118189,3.553345273,0.843920441,0.916509133,0.739755194,0.062508593,0.040442027,0.113314212,0.651471698,0.813134328,0.420805369,0.663333333,0.79,0.446666667,0.734220678,0.848127206,0.524236964,23.60767561,63.54364008,12.06275232,26.05145719,82.74915825,12.48788638,26.72292994,80.81896552,13.31818182
25.txt,279,107,104,62,175,45,0.579439252,0.372759857,0.383512545,0.596153846,0.257142857,6.405922439,6.079600189,3.401680257,0.829808754,0.888627696,0.737041672,0.069590674,0.055215896,0.117233111,0.632956522,0.707636364,0.418730159,0.624,0.72,0.426666667,0.716868304,0.779969622,0.510176391,29.80493446,48.77588848,13.02800136,27.05825352,31.41042781,12.48015399,28.34767025,42.93269231,12.97142857
26.txt,394,153,139,94,255,59,0.614379085,0.352791878,0.388324873,0.676258993,0.231372549,7.708028644,7.972975939,3.694723317,0.841723988,0.920725257,0.735849759,0.060981022,0.036992158,0.109763487,0.668521739,0.745111111,0.458932039,0.662857143,0.77,0.472,0.726337782,0.828364072,0.529339567,36.23146853,86.51123063,14.63090204,34.56622761,44.01798175,14.86747797,33.73604061,65.75539568,14.73333333
27.txt,144,65,65,36,79,29,0.553846154,0.451388889,0.451388889,0.553846154,0.367088608,5.416666667,4.465250445,3.262754913,0.839948509,0.858453878,0.770645616,0.074154129,0.078076606,0.120863781,0.610736842,0.595,0.39,0.64,0.64,0.38,0.668027394,0.642522837,0.474055395,29.11532847,20.35799941,12.46631206,26.32862436,23.13486312,11.206466,27.89583333,22.04615385,12.11392405
28.txt,361,153,142,92,219,61,0.60130719,0.393351801,0.423822715,0.647887324,0.278538813,8.052631579,7.720468496,4.121998008,0.854226893,0.912418558,0.762816691,0.056998122,0.040692244,0.101341155,0.758269231,0.781935484,0.568588235,0.737142857,0.78,0.575,0.806419546,0.823776746,0.636808046,59.7027018,66.31985876,20.90454545,56.71556441,66.44306184,22.80686528,56.4265928,74.48591549,23.01369863
29.txt,325,128,124,80,201,48,0.625,0.381538462,0.393846154,0.64516129,0.23880597,7.100162512,7.184212081,3.385658956,0.838896424,0.909081052,0.729960106,0.064136567,0.043430786,0.117245726,0.665217391,0.7488,0.487631579,0.663333333,0.77,0.49,0.785275677,0.83797584,0.588391645,30.5581761,65.05145414,13.17960526,27.09274223,36.54253968,14.06324188,28.56615385,57.06451613,14.31343284
3.txt,280,103,108,59,172,44,0.572815534,0.385714286,0.367857143,0.546296296,0.255813953,6.155427338,5.677277647,3.354968547,0.822520327,0.870872098,0.735151762,0.072524811,0.063502702,0.118472318,0.581212121,0.578983051,0.403902439,0.584,0.62,0.426666667,0.689568455,0.692746023,0.504224948,20.54257619,23.53199716,10.31453479,17.41675084,17.1212422,11.12883436,17.51071429,22.61111111,11.06395349
30.txt,225,85,102,58,123,27,0.682352941,0.453333333,0.377777778,0.568627451,0.219512195,5.666666667,5.742855749,2.434508014,0.820267522,0.877938785,0.68489414,0.07641094,0.060769295,0.150775199,0.528636364,0.580377358,0.311081081,0.555,0.63,0.34,0.658384489,0.746177943,0.374627889,15.71523556,16.41668282,10.07327586,15.81397031,14.70505618,10.50885025,17.28444444,23.75490196,10.70731707
